"geo_entity2","m","method","order","SC","qD","qD.LCL","qD.UCL","iteration"
"Hawai'i Island",1000,"interpolated",0,1,7.979,7.951,8.008,1
"Hawai'i Island",1000,"interpolated",1,1,4.15,4.07,4.23,1
"Hawai'i Island",1000,"interpolated",2,1,3.104,3.042,3.165,1
"Kaua'i Island",1000,"interpolated",0,0.996,27.797,27.169,28.425,1
"Kaua'i Island",1000,"interpolated",1,0.996,6.929,6.702,7.156,1
"Kaua'i Island",1000,"interpolated",2,0.996,4.086,3.972,4.199,1
"Maui Nui",1000,"interpolated",0,0.997,18.389,17.92,18.859,1
"Maui Nui",1000,"interpolated",1,0.997,5.663,5.535,5.79,1
"Maui Nui",1000,"interpolated",2,0.997,3.609,3.52,3.698,1
"O'ahu Island",1000,"interpolated",0,1,13.896,13.648,14.143,1
"O'ahu Island",1000,"interpolated",1,1,4.731,4.55,4.911,1
"O'ahu Island",1000,"interpolated",2,1,3.341,3.229,3.452,1
"Hawai'i Island",1000,"interpolated",0,1,7.999,7.995,8.003,2
"Hawai'i Island",1000,"interpolated",1,1,3.329,3.246,3.411,2
"Hawai'i Island",1000,"interpolated",2,1,2.704,2.654,2.753,2
"Kaua'i Island",1000,"interpolated",0,0.997,22.555,22.062,23.048,2
"Kaua'i Island",1000,"interpolated",1,0.997,5.932,5.778,6.087,2
"Kaua'i Island",1000,"interpolated",2,0.997,3.912,3.827,3.997,2
"Maui Nui",1000,"interpolated",0,1,8.983,8.958,9.008,2
"Maui Nui",1000,"interpolated",1,1,3.816,3.74,3.893,2
"Maui Nui",1000,"interpolated",2,1,2.733,2.657,2.809,2
"O'ahu Island",1000,"interpolated",0,0.997,17.254,16.752,17.756,2
"O'ahu Island",1000,"interpolated",1,0.997,1.981,1.924,2.038,2
"O'ahu Island",1000,"interpolated",2,0.997,1.329,1.311,1.347,2
"Hawai'i Island",1000,"interpolated",0,0.999,8.332,8.125,8.539,3
"Hawai'i Island",1000,"interpolated",1,0.999,3.225,3.18,3.27,3
"Hawai'i Island",1000,"interpolated",2,0.999,2.568,2.533,2.603,3
"Kaua'i Island",1000,"interpolated",0,0.996,20,19.272,20.727,3
"Kaua'i Island",1000,"interpolated",1,0.996,5.223,5.106,5.34,3
"Kaua'i Island",1000,"interpolated",2,0.996,3.894,3.822,3.966,3
"Maui Nui",1000,"interpolated",0,0.998,15.423,15.052,15.793,3
"Maui Nui",1000,"interpolated",1,0.998,4.92,4.839,5.002,3
"Maui Nui",1000,"interpolated",2,0.998,3.718,3.647,3.789,3
"O'ahu Island",1000,"interpolated",0,0.998,16.869,16.405,17.334,3
"O'ahu Island",1000,"interpolated",1,0.998,4.413,4.296,4.53,3
"O'ahu Island",1000,"interpolated",2,0.998,3.171,3.105,3.237,3
"Hawai'i Island",1000,"interpolated",0,1,5.751,5.501,6.001,4
"Hawai'i Island",1000,"interpolated",1,1,3.259,3.212,3.306,4
"Hawai'i Island",1000,"interpolated",2,1,2.872,2.832,2.912,4
"Kaua'i Island",1000,"interpolated",0,0.997,18.18,17.769,18.59,4
"Kaua'i Island",1000,"interpolated",1,0.997,6.004,5.894,6.113,4
"Kaua'i Island",1000,"interpolated",2,0.997,4.568,4.496,4.64,4
"Maui Nui",1000,"interpolated",0,1,9.87,9.781,9.959,4
"Maui Nui",1000,"interpolated",1,1,4.264,4.199,4.33,4
"Maui Nui",1000,"interpolated",2,1,3.313,3.26,3.366,4
"O'ahu Island",1000,"interpolated",0,0.999,12.295,11.882,12.709,4
"O'ahu Island",1000,"interpolated",1,0.999,3.43,3.345,3.515,4
"O'ahu Island",1000,"interpolated",2,0.999,2.636,2.575,2.696,4
"Hawai'i Island",1000,"interpolated",0,1,10,10,10,5
"Hawai'i Island",1000,"interpolated",1,1,6.933,6.85,7.017,5
"Hawai'i Island",1000,"interpolated",2,1,5.891,5.806,5.976,5
"Kaua'i Island",1000,"interpolated",0,0.999,12.579,12.284,12.873,5
"Kaua'i Island",1000,"interpolated",1,0.999,4.402,4.27,4.534,5
"Kaua'i Island",1000,"interpolated",2,0.999,2.777,2.686,2.868,5
"Maui Nui",1000,"interpolated",0,0.999,15.593,15.335,15.852,5
"Maui Nui",1000,"interpolated",1,0.999,5.058,4.926,5.19,5
"Maui Nui",1000,"interpolated",2,0.999,3.429,3.331,3.526,5
"O'ahu Island",1000,"interpolated",0,0.997,13.345,12.84,13.85,5
"O'ahu Island",1000,"interpolated",1,0.997,1.553,1.516,1.59,5
"O'ahu Island",1000,"interpolated",2,0.997,1.182,1.168,1.196,5
"Hawai'i Island",1000,"interpolated",0,0.999,11.195,10.956,11.433,6
"Hawai'i Island",1000,"interpolated",1,0.999,3.721,3.661,3.782,6
"Hawai'i Island",1000,"interpolated",2,0.999,2.545,2.5,2.589,6
"Kaua'i Island",1000,"interpolated",0,0.995,29.355,28.642,30.068,6
"Kaua'i Island",1000,"interpolated",1,0.995,6.649,6.403,6.894,6
"Kaua'i Island",1000,"interpolated",2,0.995,3.7,3.58,3.82,6
"Maui Nui",1000,"interpolated",0,0.999,14.55,14.295,14.804,6
"Maui Nui",1000,"interpolated",1,0.999,6.323,6.192,6.454,6
"Maui Nui",1000,"interpolated",2,0.999,4.492,4.378,4.606,6
"O'ahu Island",1000,"interpolated",0,1,15.881,15.648,16.114,6
"O'ahu Island",1000,"interpolated",1,1,3.458,3.295,3.62,6
"O'ahu Island",1000,"interpolated",2,1,2.147,2.066,2.229,6
"Hawai'i Island",1000,"interpolated",0,0.999,9.342,9.17,9.514,7
"Hawai'i Island",1000,"interpolated",1,0.999,3.208,3.165,3.252,7
"Hawai'i Island",1000,"interpolated",2,0.999,2.179,2.147,2.211,7
"Kaua'i Island",1000,"interpolated",0,0.997,28.273,27.665,28.881,7
"Kaua'i Island",1000,"interpolated",1,0.997,7.38,7.133,7.627,7
"Kaua'i Island",1000,"interpolated",2,0.997,3.947,3.813,4.082,7
"Maui Nui",1000,"interpolated",0,1,9.962,9.932,9.991,7
"Maui Nui",1000,"interpolated",1,1,4.591,4.52,4.662,7
"Maui Nui",1000,"interpolated",2,1,3.558,3.501,3.614,7
"O'ahu Island",1000,"interpolated",0,0.999,15.444,15.166,15.722,7
"O'ahu Island",1000,"interpolated",1,0.999,2.799,2.73,2.869,7
"O'ahu Island",1000,"interpolated",2,0.999,1.77,1.737,1.804,7
"Hawai'i Island",1000,"interpolated",0,1,4.993,4.975,5.011,8
"Hawai'i Island",1000,"interpolated",1,1,1.459,1.429,1.488,8
"Hawai'i Island",1000,"interpolated",2,1,1.198,1.184,1.213,8
"Kaua'i Island",1000,"interpolated",0,0.996,16.796,16.065,17.528,8
"Kaua'i Island",1000,"interpolated",1,0.996,4.119,4.035,4.204,8
"Kaua'i Island",1000,"interpolated",2,0.996,3.189,3.131,3.248,8
"Maui Nui",1000,"interpolated",0,0.999,10.423,10.168,10.677,8
"Maui Nui",1000,"interpolated",1,0.999,3.127,3.068,3.185,8
"Maui Nui",1000,"interpolated",2,0.999,2.183,2.138,2.228,8
"O'ahu Island",1000,"interpolated",0,0.999,9.445,9.207,9.683,8
"O'ahu Island",1000,"interpolated",1,0.999,2.095,2.047,2.143,8
"O'ahu Island",1000,"interpolated",2,0.999,1.537,1.514,1.56,8
"Hawai'i Island",1000,"interpolated",0,1,4,3.998,4.001,9
"Hawai'i Island",1000,"interpolated",1,1,1.473,1.439,1.507,9
"Hawai'i Island",1000,"interpolated",2,1,1.219,1.198,1.24,9
"Kaua'i Island",1000,"interpolated",0,0.999,23.846,23.585,24.108,9
"Kaua'i Island",1000,"interpolated",1,0.999,8.899,8.511,9.287,9
"Kaua'i Island",1000,"interpolated",2,0.999,5.071,4.839,5.303,9
"Maui Nui",1000,"interpolated",0,0.999,13.423,13.166,13.68,9
"Maui Nui",1000,"interpolated",1,0.999,5.2,5.108,5.292,9
"Maui Nui",1000,"interpolated",2,0.999,3.957,3.88,4.034,9
"O'ahu Island",1000,"interpolated",0,0.998,14.912,14.474,15.35,9
"O'ahu Island",1000,"interpolated",1,0.998,4.343,4.247,4.44,9
"O'ahu Island",1000,"interpolated",2,0.998,3.346,3.286,3.406,9
"Hawai'i Island",1000,"interpolated",0,1,8.972,8.912,9.032,10
"Hawai'i Island",1000,"interpolated",1,1,4.145,4.035,4.255,10
"Hawai'i Island",1000,"interpolated",2,1,2.995,2.895,3.094,10
"Kaua'i Island",1000,"interpolated",0,0.997,22.369,21.854,22.884,10
"Kaua'i Island",1000,"interpolated",1,0.997,6.076,5.928,6.224,10
"Kaua'i Island",1000,"interpolated",2,0.997,4.017,3.934,4.1,10
"Maui Nui",1000,"interpolated",0,1,7.742,7.507,7.977,10
"Maui Nui",1000,"interpolated",1,1,2.948,2.874,3.021,10
"Maui Nui",1000,"interpolated",2,1,1.988,1.939,2.036,10
"O'ahu Island",1000,"interpolated",0,1,6.777,6.538,7.017,10
"O'ahu Island",1000,"interpolated",1,1,3.472,3.409,3.536,10
"O'ahu Island",1000,"interpolated",2,1,3.095,3.054,3.136,10
"Hawai'i Island",1000,"interpolated",0,0.999,7.914,7.615,8.213,11
"Hawai'i Island",1000,"interpolated",1,0.999,3.638,3.589,3.686,11
"Hawai'i Island",1000,"interpolated",2,0.999,2.941,2.9,2.983,11
"Kaua'i Island",1000,"interpolated",0,0.999,11.121,10.757,11.485,11
"Kaua'i Island",1000,"interpolated",1,0.999,4.146,4.072,4.221,11
"Kaua'i Island",1000,"interpolated",2,0.999,3.348,3.294,3.403,11
"Maui Nui",1000,"interpolated",0,1,6.982,6.958,7.006,11
"Maui Nui",1000,"interpolated",1,1,3.932,3.868,3.995,11
"Maui Nui",1000,"interpolated",2,1,2.949,2.884,3.014,11
"O'ahu Island",1000,"interpolated",0,0.999,7.521,7.323,7.72,11
"O'ahu Island",1000,"interpolated",1,0.999,2.648,2.602,2.693,11
"O'ahu Island",1000,"interpolated",2,0.999,1.97,1.935,2.005,11
"Hawai'i Island",1000,"interpolated",0,1,5.99,5.977,6.004,12
"Hawai'i Island",1000,"interpolated",1,1,3.878,3.842,3.914,12
"Hawai'i Island",1000,"interpolated",2,1,3.57,3.538,3.602,12
"Kaua'i Island",1000,"interpolated",0,0.997,18.957,18.362,19.551,12
"Kaua'i Island",1000,"interpolated",1,0.997,5.443,5.32,5.566,12
"Kaua'i Island",1000,"interpolated",2,0.997,3.657,3.584,3.729,12
"Maui Nui",1000,"interpolated",0,1,7.886,7.818,7.955,12
"Maui Nui",1000,"interpolated",1,1,3.115,3.067,3.163,12
"Maui Nui",1000,"interpolated",2,1,2.382,2.343,2.422,12
"O'ahu Island",1000,"interpolated",0,0.998,12.223,11.774,12.672,12
"O'ahu Island",1000,"interpolated",1,0.998,2.437,2.396,2.478,12
"O'ahu Island",1000,"interpolated",2,0.998,1.918,1.889,1.946,12
"Hawai'i Island",1000,"interpolated",0,0.999,12.047,11.714,12.38,13
"Hawai'i Island",1000,"interpolated",1,0.999,2.479,2.412,2.546,13
"Hawai'i Island",1000,"interpolated",2,0.999,1.675,1.64,1.711,13
"Kaua'i Island",1000,"interpolated",0,0.999,14.588,14.267,14.91,13
"Kaua'i Island",1000,"interpolated",1,0.999,4.799,4.65,4.948,13
"Kaua'i Island",1000,"interpolated",2,0.999,3.199,3.105,3.293,13
"Maui Nui",1000,"interpolated",0,0.998,15.492,15.021,15.964,13
"Maui Nui",1000,"interpolated",1,0.998,5.478,5.361,5.594,13
"Maui Nui",1000,"interpolated",2,0.998,3.619,3.525,3.713,13
"O'ahu Island",1000,"interpolated",0,0.999,12.728,12.49,12.967,13
"O'ahu Island",1000,"interpolated",1,0.999,4.589,4.464,4.713,13
"O'ahu Island",1000,"interpolated",2,0.999,3.072,2.982,3.162,13
"Hawai'i Island",1000,"interpolated",0,1,8.738,8.503,8.973,14
"Hawai'i Island",1000,"interpolated",1,1,5.142,5.07,5.215,14
"Hawai'i Island",1000,"interpolated",2,1,4.507,4.425,4.589,14
"Kaua'i Island",1000,"interpolated",0,0.999,19.428,19.107,19.75,14
"Kaua'i Island",1000,"interpolated",1,0.999,4.587,4.442,4.732,14
"Kaua'i Island",1000,"interpolated",2,0.999,2.932,2.856,3.008,14
"Maui Nui",1000,"interpolated",0,0.999,10.671,10.378,10.963,14
"Maui Nui",1000,"interpolated",1,0.999,4.025,3.964,4.086,14
"Maui Nui",1000,"interpolated",2,0.999,3,2.959,3.041,14
"O'ahu Island",1000,"interpolated",0,1,6.616,6.397,6.836,14
"O'ahu Island",1000,"interpolated",1,1,4.453,4.406,4.501,14
"O'ahu Island",1000,"interpolated",2,1,4.046,3.996,4.095,14
"Hawai'i Island",1000,"interpolated",0,1,9.897,9.818,9.976,15
"Hawai'i Island",1000,"interpolated",1,1,4.742,4.68,4.805,15
"Hawai'i Island",1000,"interpolated",2,1,4.175,4.13,4.22,15
"Kaua'i Island",1000,"interpolated",0,0.995,25.033,24.317,25.749,15
"Kaua'i Island",1000,"interpolated",1,0.995,6.274,6.081,6.468,15
"Kaua'i Island",1000,"interpolated",2,0.995,3.808,3.689,3.928,15
"Maui Nui",1000,"interpolated",0,0.999,10.448,10.231,10.665,15
"Maui Nui",1000,"interpolated",1,0.999,3.726,3.664,3.788,15
"Maui Nui",1000,"interpolated",2,0.999,2.625,2.572,2.678,15
"O'ahu Island",1000,"interpolated",0,0.998,12.693,12.261,13.125,15
"O'ahu Island",1000,"interpolated",1,0.998,2.617,2.552,2.683,15
"O'ahu Island",1000,"interpolated",2,0.998,1.743,1.71,1.777,15
"Hawai'i Island",1000,"interpolated",0,1,5,5,5,16
"Hawai'i Island",1000,"interpolated",1,1,1.486,1.437,1.535,16
"Hawai'i Island",1000,"interpolated",2,1,1.19,1.168,1.212,16
"Kaua'i Island",1000,"interpolated",0,0.998,20.852,20.345,21.358,16
"Kaua'i Island",1000,"interpolated",1,0.998,5.279,5.13,5.427,16
"Kaua'i Island",1000,"interpolated",2,0.998,3.397,3.317,3.477,16
"Maui Nui",1000,"interpolated",0,0.997,16.17,15.71,16.63,16
"Maui Nui",1000,"interpolated",1,0.997,5.297,5.202,5.392,16
"Maui Nui",1000,"interpolated",2,0.997,3.623,3.546,3.701,16
"O'ahu Island",1000,"interpolated",0,0.999,11.554,11.182,11.926,16
"O'ahu Island",1000,"interpolated",1,0.999,2.674,2.589,2.758,16
"O'ahu Island",1000,"interpolated",2,0.999,1.98,1.934,2.027,16
"Hawai'i Island",1000,"interpolated",0,0.999,7.005,6.596,7.415,17
"Hawai'i Island",1000,"interpolated",1,0.999,1.4,1.372,1.427,17
"Hawai'i Island",1000,"interpolated",2,0.999,1.146,1.134,1.158,17
"Kaua'i Island",1000,"interpolated",0,0.997,29.539,29.007,30.071,17
"Kaua'i Island",1000,"interpolated",1,0.997,6.06,5.845,6.275,17
"Kaua'i Island",1000,"interpolated",2,0.997,3.14,3.037,3.244,17
"Maui Nui",1000,"interpolated",0,0.999,12.917,12.578,13.256,17
"Maui Nui",1000,"interpolated",1,0.999,4.601,4.515,4.688,17
"Maui Nui",1000,"interpolated",2,0.999,3.247,3.183,3.312,17
"O'ahu Island",1000,"interpolated",0,0.998,9.821,9.41,10.232,17
"O'ahu Island",1000,"interpolated",1,0.998,4.308,4.252,4.364,17
"O'ahu Island",1000,"interpolated",2,0.998,3.226,3.169,3.282,17
"Hawai'i Island",1000,"interpolated",0,0.999,16.673,16.489,16.857,18
"Hawai'i Island",1000,"interpolated",1,0.999,4.938,4.812,5.064,18
"Hawai'i Island",1000,"interpolated",2,0.999,3.36,3.278,3.441,18
"Kaua'i Island",1000,"interpolated",0,0.999,20.418,20.074,20.761,18
"Kaua'i Island",1000,"interpolated",1,0.999,5.528,5.361,5.696,18
"Kaua'i Island",1000,"interpolated",2,0.999,3.355,3.245,3.465,18
"Maui Nui",1000,"interpolated",0,1,5.999,5.995,6.003,18
"Maui Nui",1000,"interpolated",1,1,4.321,4.269,4.373,18
"Maui Nui",1000,"interpolated",2,1,3.668,3.589,3.747,18
"O'ahu Island",1000,"interpolated",0,0.998,14.147,13.633,14.66,18
"O'ahu Island",1000,"interpolated",1,0.998,2.248,2.199,2.296,18
"O'ahu Island",1000,"interpolated",2,0.998,1.559,1.534,1.584,18
"Hawai'i Island",1000,"interpolated",0,0.999,10.693,10.572,10.814,19
"Hawai'i Island",1000,"interpolated",1,0.999,2.996,2.948,3.044,19
"Hawai'i Island",1000,"interpolated",2,0.999,1.967,1.934,2,19
"Kaua'i Island",1000,"interpolated",0,0.998,20.868,20.423,21.314,19
"Kaua'i Island",1000,"interpolated",1,0.998,5.572,5.412,5.732,19
"Kaua'i Island",1000,"interpolated",2,0.998,3.593,3.498,3.687,19
"Maui Nui",1000,"interpolated",0,1,6.987,6.969,7.005,19
"Maui Nui",1000,"interpolated",1,1,2.666,2.615,2.718,19
"Maui Nui",1000,"interpolated",2,1,1.884,1.853,1.915,19
"O'ahu Island",1000,"interpolated",0,0.999,11.677,11.435,11.919,19
"O'ahu Island",1000,"interpolated",1,0.999,3.911,3.823,4,19
"O'ahu Island",1000,"interpolated",2,0.999,2.886,2.815,2.956,19
"Hawai'i Island",1000,"interpolated",0,1,5.875,5.793,5.957,20
"Hawai'i Island",1000,"interpolated",1,1,1.744,1.723,1.766,20
"Hawai'i Island",1000,"interpolated",2,1,1.342,1.327,1.357,20
